0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
516,Sugerencias por asunto Bogotá. Enero 2019,Las sugerencias recibidas para este periodo se relacionan con los siguientes aspectos: Prestar el servicio publico de banos para los usuarios y asistentes al SuperCade,https://www.datos.gov.co/dataset/Sugerencias-por-asunto-Bogotá-Enero-2019/ay7j-479g,Enlace externo,March 23 2019,2,economía y finanzas,,,,,,,,,,,,,
517,Experiencias Pedagógicas IED - Bogotá D.C.,"Listado de las experiencias pedagógicas con la descripción de las mismas, información del autor u autores, ubicación del o los colegios de Bogotá D.C, entre otros, en las cuales se realizaron.",https://www.datos.gov.co/dataset/Experiencias-Pedagógicas-IED-Bogotá-D-C-/664t-cnpt,Enlace externo,March 23 2019,3,experiencias pedagógicas/bogotá d.c./docentes/premio/,,,,,,,,,,,,,
518,Peticiones por asunto Bogotá. Enero 2019,"Este grupo está conformado por los siguientes tipos documentales: Derecho de Petición, Solicitud y Tramite Especial; de acuerdo con el análisis realizado se clasificaron las peticiones teniendo en cuenta el tipo de requerimiento realizado por la ciudadanía.",https://www.datos.gov.co/dataset/Peticiones-por-asunto-Bogotá-Enero-2019/3dv9-4k6f,Enlace externo,March 23 2019,1,economía y finanzas,,,,,,,,,,,,,
519,PQRS por Tipología y canal ingreso. Bogotá Enero 2019.,"Los canales oficiales, dispuestos para la radicación de PQRS, establecidos en la resolución SDH000046 del 23 de diciembre de 2015 “ Por la cual se reglamenta el trámite interno de las peticiones, quejas, reclamos y sugerencias PQRS en la Secretaría Distrital de Hacienda”",https://www.datos.gov.co/dataset/PQRS-por-Tipología-y-canal-ingreso-Bogotá-Enero-20/ujeh-djpk,Enlace externo,March 23 2019,1,economía y finanzas,,,,,,,,,,,,,
520,Estadísticas sector agropecuario cultivos anuales y permanentes del año 2018 del Municipio de Candelaria Valle,"Contiene Estadística de área, producción y rendimiento, de la parte agrícola, cultivos permanentes, piscicultura y Avicultura del Municipio, que permite evaluar el comportamiento del sector agropecuario anualmente.",https://www.datos.gov.co/Agricultura-y-Desarrollo-Rural/Estadísticas-sector-agropecuario-cultivos-anuales-/952z-tun3,Conjunto de Datos,March 22 2019,0,candelaria/municipio candelaria/cultivos/estadistica/agri,Secretaria de Medio Ambiente,Alcaldía Municipal de Candelaria Valle del Cauca,Valle del Cauca,Candelaria,Territorial,Agricultura y Desarrollo Rural,Español,Municipal,No aplica,Agricultura y Desarrollo Rural,0,16,15
521,SATISFACCIÓN DE LA ESE HOPISTAL SAN VICNETE DE PAUL,"Promedio de satisfacción realizados  de la   E.S.E Hospital San Vicente De Paul Fómeque  del cuarto trimestre del 2018 de los municipios de Fómeque, Ubaque, Choachí, se logra evidenciar que se cuenta con un satisfacción del 87.8%, sin embrago nosotros como ese continuamos trabajando para mejorar la satisfacción del usuario a través del programa de Humanización de la ESE HOPISTAL SAN VICNETE DE PAUL",https://www.datos.gov.co/Salud-y-Protección-Social/SATISFACCIÓN-DE-LA-ESE-HOPISTAL-SAN-VICNETE-DE-PAU/2xf8-3tvw,Conjunto de Datos,March 22 2019,0,,SIAU,E.S.E. Hospital San Vicente de Paul Fómeque,Cundinamarca,Fomeque,Nacional,Salud y Protección Social,Español,Municipal,Trimestral,Salud y Protección Social,3,4,5
522,Inventario Puntos Vive Digital,Sin descripción reportada en el sitio,https://www.datos.gov.co/Ciencia-Tecnología-e-Innovación/Inventario-Puntos-Vive-Digital/cem4-qzy4,Conjunto de Datos,March 22 2019,0,,Oficina TICS,Alcaldía Municipal de Girardot,Cundinamarca,Girardot,Nacional,"Ciencia, Tecnología e innovación",Español,Departamental,No aplica,"Ciencia, Tecnología e Innovación",5,9,8
523,Registro de Activos de información_2019,Registro de Activos de Información de la Unidad Administrativa Especial de Servicios Públicos UAESP,https://www.datos.gov.co/dataset/Registro-de-Activos-de-información_2019/tzwn-bjfz,Enlace externo,March 22 2019,6,ambiente ydesarrollo sostenible,,,,,,,,,,,,,
524,Edad de inicio del consumo de tabaco según sexo.,Contiene la estadística de la edad de inicio del consumo de tabaco según sexo.,https://www.datos.gov.co/Estadísticas-Nacionales/Edad-de-inicio-del-consumo-de-tabaco-según-sexo-/6sem-aayu,Conjunto de Datos,March 21 2019,0,,Dirección de las TIC,Gobernación del Caquetá,Caquetá,Florencia,Territorial,Estadísticas,Español,Departamental,Trienio,Estadísticas Nacionales,9,Sin dato recolectado,Sin dato recolectado
525,Contratos MEN 2019,Información de los Contratos correspondientes a procesos de compra pública registrados por el MEN en la plataforma SECOP II desde enero de 2019,https://www.datos.gov.co/Gastos-Gubernamentales/Contratos-MEN-2019/cxcr-hvpc,Vista filtrada,March 21 2019,24,2019/educación/men/ministe,,,,,,,,,,,,,
526,CONTRATOS MEN SECOP II 2019,Información de los Contratos correspondientes a procesos de compra pública registrados en la plataforma SECOP II desde su existencia,https://www.datos.gov.co/Gastos-Gubernamentales/CONTRATOS-MEN-SECOP-II-2019/czjy-us9y,Vista filtrada,March 21 2019,14,,,,,,,,,,,,,,
527,PRESIDENTES DE JUNTAS DE ACCIÓN COMUNAL DE CUBARRAL META,Listado de Presidentes de Juntas de Acción Comunal de las veredas y los barrios del Municipio de Cubarral Meta.,https://www.datos.gov.co/Participación-ciudadana/PRESIDENTES-DE-JUNTAS-DE-ACCIÓN-COMUNAL-DE-CUBARRA/t6nf-ueyk,Conjunto de Datos,March 21 2019,2,presidentes jac/jac/juntas de acción comun,Secretaría de Gobierno,Alcaldía Municipal de Cubarral,Meta,Cubarral,Territorial,No Aplica,Español,Municipal,Anual,Participación ciudadana,9,Sin dato recolectado,Sin dato recolectado
528,Programa Integral Red Agua,"lluvia, nivel, caudal,  índices de calidad del agua y familias de macroinvertebrados",https://www.datos.gov.co/Ambiente-y-Desarrollo-Sostenible/Programa-Integral-Red-Agua/b9cd-su6v,Enlace externo,March 21 2019,3,caudal/lluvia/calidad agua/macroinvertebrados/,,,,,,,,,,,,,
529,Mapa de Puntos de Detección electrónica de Barranquilla,Ubicación de los puntos de detección electrónica en la ciudad de Barranquilla,https://www.datos.gov.co/Transporte/Mapa-de-Puntos-de-Detección-electrónica-de-Barranq/4jwj-za7t,Mapa,March 21 2019,21,detección/electrónica/barranquilla/fotodetecc,,,,,,,,,,,,,
530,"Tasa de VIH/SIDA, por Departamento de procedencia, Colombia, período 13, 2017","Contiene al estadística de la tasa de VIH/SIDA, por Departamento de procedencia, Colombia, período 13, 2017.",https://www.datos.gov.co/Salud-y-Protección-Social/Tasa-de-VIH-SIDA-por-Departamento-de-procedencia-C/ikxh-g6vy,Conjunto de Datos,March 21 2019,11,,Dirección de las TIC,Gobernación del Caquetá,Caquetá,Florencia,Nacional,Salud y Protección Social,Español,Nacional,Trienio,Salud y Protección Social,22,38,4
531,Fotodetección en Barranquilla,Ubicación y descripción de los puntos de detección electrónica en Barranquilla,https://www.datos.gov.co/Transporte/Fotodetección-en-Barranquilla/cpp6-je64,Conjunto de Datos,March 21 2019,9,fotodetección/detección/barranquilla/electrón,Secretaria de Transito y Seguridad Vial de Barranquilla,"Alcaldía Distrital de Barranquilla, Distrito Especial, Industrial y Portuario",Atlántico,Barranquilla,Territorial,Transporte,Español,Municipal,Semestral,Transporte,2,37,9
532,Escenarios Deportivos Ciénega,Inventario de Escenarios Deportivos dentro de la Jurisdicción del Municipio de Ciénega,https://www.datos.gov.co/Deporte-y-Recreación/Escenarios-Deportivos-Ciénega/hbez-86ky,Conjunto de Datos,March 21 2019,22,deportes/canchas/escenarios deportiv,Secretaria de Planeación y obras Púbblicas,Alcaldía Municipal de Ciénega Boyacá,Boyacá,Ciénega,Territorial,Función Pública,Español,Municipal,Anual,Deporte y Recreación,0,Sin dato recolectado,Sin dato recolectado
533,"Activos de Información Fondo de prestaciones económicas, cesantias y pensiones FONCEP_Marzo 2019",Tabla de activos de información foncep marzo 2019,https://www.datos.gov.co/dataset/Activos-de-Información-Fondo-de-prestaciones-econó/9t5k-n3dk,Enlace externo,March 21 2019,9,activos de informacion,,,,,,,,,,,,,
534,Secretaria Desarrollo Agropecuario Segundo Semestre 2018 Patios,"Estadísticas de programas, Esterilización Canina y Felina, Mercados Campesinos,Asistencia técnica",https://www.datos.gov.co/Agricultura-y-Desarrollo-Rural/Secretaria-Desarrollo-Agropecuario-Segundo-Semestr/hrag-7aba,Conjunto de Datos,March 20 2019,0,,Alcaldia,Alcaldía Municipal de Los Patios,Norte de Santander,Los Patios,Territorial,Agricultura y Desarrollo Rural,Español,Municipal,Semestral,Agricultura y Desarrollo Rural,0,1,9
535,Secretaria Desarrollo Agropecuario 2018 Patios,Estadísticas de Funciones y programas Ejecutados en la Secretaria de Desarrollo Agropecuario Primer semestre 2018,https://www.datos.gov.co/Agricultura-y-Desarrollo-Rural/Secretaria-Desarrollo-Agropecuario-2018-Patios/572p-x69w,Conjunto de Datos,March 20 2019,0,,Alcaldia,Alcaldía Municipal de Los Patios,Norte de Santander,Los Patios,Territorial,Agricultura y Desarrollo Rural,Español,Municipal,Semestral,Agricultura y Desarrollo Rural,1,1,8
536,"Policía Rural Estadísticas Agosto, Septiembre, Octubre  2018 Patios",Estadísticas de servicios prestados en la inspectoria de Policía Rural Alcaldía de los Patios,https://www.datos.gov.co/Justicia-y-Derecho/Policía-Rural-Estadísticas-Agosto-Septiembre-Octub/tdv4-u3fe,Conjunto de Datos,March 20 2019,0,,Alcaldia,Alcaldía Municipal de Los Patios,Norte de Santander,Los Patios,Territorial,Justicia y del Derecho,Español,Municipal,Trimestral,Justicia y Derecho,0,Sin dato recolectado,Sin dato recolectado
537,"BIBLIOTECA HOQABIGA,URBANO Y RURAL MUNICIPIO DE CHIA",Estadísticas bibliotecas Publicas,https://www.datos.gov.co/Cultura/BIBLIOTECA-HOQABIGA-URBANO-Y-RURAL-MUNICIPIO-DE-CH/ypvr-gr4e,Conjunto de Datos,March 20 2019,0,,BIBLIOTECA HOQABIGA,Alcaldía Municipal de Chía,Cundinamarca,Chía,Territorial,Cultura,Español,Municipal,Trimestral,Cultura,3,108,16
538,Policía Rural Trimestre (Nov-Dic-Ene)  2018- Los Patios,Estadísticas de servicios a cargo de la oficina de inspección rural del municipio de Los Patios,https://www.datos.gov.co/Justicia-y-Derecho/Policía-Rural-Trimestre-Nov-Dic-Ene-2018-Los-Patio/fjjt-np5i,Conjunto de Datos,March 20 2019,1,inspeccion rural/2018/los pati,Alcaldia,Alcaldía Municipal de Los Patios,Norte de Santander,Los Patios,Territorial,Justicia y del Derecho,Español,Municipal,Trimestral,Justicia y Derecho,0,Sin dato recolectado,Sin dato recolectado
539,Comportamiento de Afiliación en Salud - Boyacá 2013-2018,,https://www.datos.gov.co/Salud-y-Protección-Social/Comportamiento-de-Afiliación-en-Salud-Boyacá-2013-/hj3s-q8pn,Gráfico,March 20 2019,5,,,,,,,,,,,,,,
540,CONTRATACIÓN 2018,Contratación Alcaldía Municipal de Titiribí de 2018,https://www.datos.gov.co/Función-pública/CONTRATACIÓN-2018/wck4-itp6,Conjunto de Datos,March 20 2019,0,contratación,Secretaría de Gobierno,Alcaldía Municipal de Titiribí,Antioquia,Titiribí,Territorial,Función Pública,Español,Municipal,No aplica,Función Pública,2,Sin dato recolectado,Sin dato recolectado
541,CONTRATACIÓN 2017,Contratación Alcaldía Municipal de Titiribí de 2017,https://www.datos.gov.co/Función-pública/CONTRATACIÓN-2017/mmzz-nzqs,Conjunto de Datos,March 20 2019,0,contratación,Secretaría de Gobierno,Alcaldía Municipal de Titiribí,Antioquia,Titiribí,Territorial,Función Pública,Español,Municipal,No aplica,Función Pública,0,170,7
542,CONTRATACIÓN 2016,Contratación Alcaldía Municipal de Titiribí 2016,https://www.datos.gov.co/dataset/CONTRATACIÓN-2016/s9yq-dqif,Conjunto de Datos,March 20 2019,0,contratación,Secretaría de Gobierno,Alcaldía Municipal de Titiribí,Antioquia,Titiribí,Territorial,Función Pública,Español,Municipal,No aplica,Este conjunto de datos no se ha categorizado,0,51,7
543,TOTAL DE HECTÁREAS POR PRODUCTO PRINCIPAL EN EL DEPARTAMENTO CAQUETÁ.,Estadística del total de hectáreas por producto principal en el departamento de Caquetá.,https://www.datos.gov.co/Agricultura-y-Desarrollo-Rural/TOTAL-DE-HECTÁREAS-POR-PRODUCTO-PRINCIPAL-EN-EL-DE/vjnb-ibt3,Conjunto de Datos,March 20 2019,0,,Dirección de las TIC,Gobernación del Caquetá,Caquetá,Florencia,Territorial,Agricultura y Desarrollo Rural,Español,Departamental,Anual,Agricultura y Desarrollo Rural,4,21,4
544,E.S.E Hospital San Vicente De Paul Fómeque,Sin descripción reportada en el sitio,https://www.datos.gov.co/Salud-y-Protección-Social/E-S-E-Hospital-San-Vicente-De-Paul-Fómeque/yk45-t3cy,Conjunto de Datos,March 20 2019,0,,laboratorio ,E.S.E. Hospital San Vicente de Paul Fómeque,Cundinamarca,Fomeque,Nacional,Salud y Protección Social,Español,Nacional,Trimestral,Salud y Protección Social,0,Sin dato recolectado,Sin dato recolectado
545,PROGRAMACIÓN EVENTOS 2019 SEVILLA,Programación de los eventos y festividades que se realizan en el Municipio de Sevilla,https://www.datos.gov.co/Cultura/PROGRAMACIÓN-EVENTOS-2019-SEVILLA/kd2g-kudq,Conjunto de Datos,March 19 2019,0,festividades/fiestas/event,Planeación ,Alcaldía Municipal de Sevilla Valle,Valle del Cauca,Sevilla,Territorial,Cultura,Español,Municipal,No aplica,Cultura,0,28,3
546,NACIDOS VIVOS,"Nacidos vivos en el Municipio de Sevilla, por año empezando 2016 a 2019 los tres primeros meses de este.",https://www.datos.gov.co/Salud-y-Protección-Social/NACIDOS-VIVOS/fqkn-cxff,Conjunto de Datos,March 19 2019,4,vivos/neonato/nacimiento/nacidos/b,Planeación ,Alcaldía Municipal de Sevilla Valle,Valle del Cauca,Sevilla,Territorial,Salud y Protección Social,Español,Municipal,No aplica,Salud y Protección Social,0,5,2
547,DEUDORES DE IMPUESTO PREDIAL- 2019,Listado de los DEUDORES morosos de Impuesto Predial hasta la vigencia del 28 de febrero 2019,https://www.datos.gov.co/Economía-y-Finanzas/DEUDORES-DE-IMPUESTO-PREDIAL-2019/ekct-v73j,Conjunto de Datos,March 19 2019,5,,TESORERÍA,Alcaldía Municipal de Nariño Cundinamarca,Cundinamarca,Nariño,Territorial,Hacienda y Crédito Público,Español,Municipal,No aplica,Economía y Finanzas,3,104,7
548,Gráfico  esp puesto andina,EMPRESAS AUTORIZADAS,https://www.datos.gov.co/Organismos-de-Control/Gráfico-esp-puesto-andina/bkmg-yb93,Vista filtrada,March 19 2019,0,,,,,,,,,,,,,,
549,RESULTADOS OPERACIONALES EN EL CAQUETÁ,CONTIENE LA ESTADÍSTICA DE LOS RESULTADOS OPERACIONALES EN EL CAQUETÁ,https://www.datos.gov.co/Estadísticas-Nacionales/RESULTADOS-OPERACIONALES-EN-EL-CAQUETÁ/4bms-m95w,Conjunto de Datos,March 19 2019,0,,Dirección de las TIC,Gobernación del Caquetá,Caquetá,Florencia,Territorial,Estadísticas,Español,Departamental,Anual,Estadísticas Nacionales,0,Sin dato recolectado,Sin dato recolectado
550,Necesidades básicas insatisfechas en el departamento de Caquetá.,Contiene los datos estadistas de Necesidades básicas insatisfechas en el departamento de Caquetá.,https://www.datos.gov.co/Estadísticas-Nacionales/Necesidades-básicas-insatisfechas-en-el-departamen/v6vi-cza6,Conjunto de Datos,March 19 2019,0,,Dirección de las TIC,Gobernación del Caquetá,Caquetá,Florencia,Territorial,Estadísticas,Español,Departamental,Anual,Estadísticas Nacionales,0,Sin dato recolectado,Sin dato recolectado
551,PRIMERAS CAUSAS DE MORBILIDAD ENERO 2019 - URGENCIAS,"Primeras causas de morbilidad - urgencias, correspondiente al mes de Enero 2019.",https://www.datos.gov.co/Salud-y-Protección-Social/PRIMERAS-CAUSAS-DE-MORBILIDAD-ENERO-2019-URGENCIAS/2u53-i789,Conjunto de Datos,March 19 2019,0,,PLANEACION,E.S.E. Empresa Social del Estado Instituto de Salud de Bucaramanga Isabu,Santander,Bucaramanga,Nacional,Salud y Protección Social,Español,Nacional,No aplica,Salud y Protección Social,3,15,3
552,PRIMERAS CAUSAS DE MORBILIDAD ENERO 2019 - HOSPITALIZACION,Primeras causas de morbilidad - Hospitalizacion del mes de enero de 2019.,https://www.datos.gov.co/Salud-y-Protección-Social/PRIMERAS-CAUSAS-DE-MORBILIDAD-ENERO-2019-HOSPITALI/54s5-8fgw,Conjunto de Datos,March 19 2019,0,,PLANEACION,E.S.E. Empresa Social del Estado Instituto de Salud de Bucaramanga Isabu,Santander,Bucaramanga,Nacional,Salud y Protección Social,Español,Nacional,No aplica,Salud y Protección Social,2,15,3
553,CONTRATOS CELEBRADOS VIGENCIA 2018 CONTRALORÍA GENERAL DEL CAUCA,Relación de contratos celebrados vigencia 2018 Contraloría General del Cauca,https://www.datos.gov.co/Organismos-de-Control/CONTRATOS-CELEBRADOS-VIGENCIA-2018-CONTRALORÍA-GEN/9dbt-mev3,Conjunto de Datos,March 19 2019,0,cauca/contraloría general del cauca/contratos celebrados vigencia 2018 contraloría general del cau,JURÍDICA,Contraloría Departamental del Cauca,Cauca,Popayán,Territorial,Organismos de control y vigilancia,Español,Departamental,No aplica,Organismos de Control,0,Sin dato recolectado,Sin dato recolectado
554,"TASA DE ACCIDENTALIDAD DEL MUNICIPIO DE SINCELEJO EN LOS AÑOS 2016, 2017 Y 2018","TASA DE ACCIDENTES DEL MUNICIPIO DE SINCELEJO ENTRE LOS AÑOS 2016, 2017 Y 2018.",https://www.datos.gov.co/Seguridad-y-Defensa/TASA-DE-ACCIDENTALIDAD-DEL-MUNICIPIO-DE-SINCELEJO-/kbap-gqk8,Conjunto de Datos,March 19 2019,20,,Secretaría del Interior,Alcaldía Municipal de Sincelejo,Sucre,Sincelejo,Territorial,Interior,Español,Municipal,Anual,Seguridad y Defensa,3,821,5
555,DIRECTORIO PERSONAL CONTRATISTA 15 DICIEMBRE 2019 - 15 MARZO 2019,Directorio del personal contratista de la ESE ISABU. Contratación realizada en el periodo comprendido entre el 15 de Diciembre de 2018 al 15 de Marzo de 2019.,https://www.datos.gov.co/Salud-y-Protección-Social/DIRECTORIO-PERSONAL-CONTRATISTA-15-DICIEMBRE-2019-/fxdb-4kf8,Conjunto de Datos,March 19 2019,5,personal contratista/directorio/base de dat,PLANEACION,E.S.E. Empresa Social del Estado Instituto de Salud de Bucaramanga Isabu,Santander,Bucaramanga,Nacional,Salud y Protección Social,Español,Nacional,No aplica,Salud y Protección Social,0,464,6
556,MORBILIDAD POR URGENCIAS - FEBRERO 2019,"Morbilidad por urgencias, correspondiente al mes de febrero del 2019.",https://www.datos.gov.co/Salud-y-Protección-Social/MORBILIDAD-POR-URGENCIAS-FEBRERO-2019/3wze-6sye,Conjunto de Datos,March 19 2019,0,morbilidad/cie-10/perfil epidemiológi,PLANEACION,E.S.E. Empresa Social del Estado Instituto de Salud de Bucaramanga Isabu,Santander,Bucaramanga,Nacional,Salud y Protección Social,Español,Nacional,No aplica,Salud y Protección Social,1,Sin dato recolectado,Sin dato recolectado
557,Datos de Operación Red Salud Casanare ESE -2018,Gestión de Datos de Operación - Red Salud Casanare ESE año 2018.,https://www.datos.gov.co/Salud-y-Protección-Social/Datos-de-Operación-Red-Salud-Casanare-ESE-2018/9ri4-fh9t,Conjunto de Datos,March 19 2019,0,,Area Sistemas,Red Salud Casanare E.S.E,Casanare,Yopal,Territorial,Salud y Protección Social,Español,Departamental,No aplica,Salud y Protección Social,1,86,15
558,MORBILIDAD POR HOSPITALIZACIÓN - FEBRERO 2019,Morbilidad por hospitalización correspondiente al mes de febrero de 2019.,https://www.datos.gov.co/Salud-y-Protección-Social/MORBILIDAD-POR-HOSPITALIZACIÓN-FEBRERO-2019/4idc-nm36,Conjunto de Datos,March 19 2019,0,,PLANEACION,E.S.E. Empresa Social del Estado Instituto de Salud de Bucaramanga Isabu,Santander,Bucaramanga,Nacional,Salud y Protección Social,Español,Nacional,No aplica,Salud y Protección Social,0,Sin dato recolectado,Sin dato recolectado
559,"Inventario Bovino por Municipios, Caquetá, año  2013.","Contiene la estadísticas del Inventario Bovino por Municipios, en el Caquetá, año  2013.",https://www.datos.gov.co/Agricultura-y-Desarrollo-Rural/Inventario-Bovino-por-Municipios-Caquetá-año-2013-/p6vv-2jfh,Conjunto de Datos,March 19 2019,0,,Dirección de las TIC,Gobernación del Caquetá,Caquetá,Florencia,Territorial,Agricultura y Desarrollo Rural,Español,Departamental,Anual,Agricultura y Desarrollo Rural,1,Sin dato recolectado,Sin dato recolectado
560,MORBILIDAD POR CONSULTA EXTERNA - FEBRERO 2019,Morbilidad por consulta externa del mes de febrero de 2019.,https://www.datos.gov.co/Salud-y-Protección-Social/MORBILIDAD-POR-CONSULTA-EXTERNA-FEBRERO-2019/jwn2-wddh,Conjunto de Datos,March 19 2019,5,,PLANEACION,E.S.E. Empresa Social del Estado Instituto de Salud de Bucaramanga Isabu,Santander,Bucaramanga,Nacional,Salud y Protección Social,Español,Departamental,No aplica,Salud y Protección Social,0,16,3
561,Ejercicios de Control  Diciembre 2018 Contraloría General del Cauca,,https://www.datos.gov.co/dataset/Ejercicios-de-Control-Diciembre-2018-Contraloría-G/d4au-s6hr,Conjunto de Datos,March 19 2019,0,ejercicios de control  diciembre 2018/cauca/ejercicios de control  diciembre 2018 contraloría general del cauca/contraloría general del ca,AUDITORIAS Y PARTICIPACIÓN CIUDADANA,Contraloría Departamental del Cauca,Cauca,Popayán,Territorial,Organismos de control y vigilancia,Español,Departamental,No aplica,Este conjunto de datos no se ha categorizado,1,132,10
562,Plan Anual de Adquisiciones  de la Contraloría General del Cauca vigencia 2019,"El principal objetivo del Plan Anual de Adquisiciones es permitir que la entidad estatal aumente la probabilidad de lograr mejores condiciones de competencia a través de la participación de un mayor número de operadores económicos interesados en los procesos de selección que se van a adelantar durante el año fiscal, y que el Estado cuente con información suficiente para realizar compras coordinadas.",https://www.datos.gov.co/Organismos-de-Control/Plan-Anual-de-Adquisiciones-de-la-Contraloría-Gene/mh38-r82w,Conjunto de Datos,March 19 2019,0,plan anual de adquisiciones  de la contraloría general del cauca vigencia 2019/plan anual de adquisiciones/contraloría general del cauca/plan anual de adquisiciones  de la contraloría general del cauca/c,TALENTO HUMANO Y SERVICIOS DE APOYO A LA GESTIÓN,Contraloría Departamental del Cauca,Cauca,Popayán,Territorial,Organismos de control y vigilancia,Español,Departamental,No aplica,Organismos de Control,1,Sin dato recolectado,Sin dato recolectado
563,VEEDURIAS 2018 CAUCA,Veedurías conformadas en el Cauca durante la vigencia 2018  - Contraloría General del Cauca,https://www.datos.gov.co/dataset/VEEDURIAS-2018-CAUCA/gx3i-r864,Conjunto de Datos,March 19 2019,0,cauca/contraloría general del cauca/veedurias 2018 cau,AUDITORIAS Y PARTICIPACIÓN CIUDADANA,Contraloría Departamental del Cauca,Cauca,Popayán,Territorial,Organismos de control y vigilancia,Español,Departamental,No aplica,Este conjunto de datos no se ha categorizado,0,Sin dato recolectado,Sin dato recolectado
564,Coberturas,There is no description available.,https://www.datos.gov.co/dataset/Coberturas/v9x7-tyia,Enlace externo,March 19 2019,4,cobertura de la tierra,,,,,,,,,,,,,
565,Zonas Potenciales Integradas Recursos Minerales Grupo 7 Materiales de construcción,,https://www.datos.gov.co/dataset/Zonas-Potenciales-Integradas-Recursos-Minerales-Gr/jxf2-bp3n,Enlace externo,March 19 2019,0,recursos minerales/zonas potenciales/construcción/materia,,,,,,,,,,,,,
566,Reclamos por asunto Bogotá diciembre 2018,"En diciembre se presentaron 3 reclamos, los cuales se clasificaron de acuerdo al tipo de servicio que no fue satisfactorio para el ciudadano.",https://www.datos.gov.co/dataset/Reclamos-por-asunto-Bogotá-diciembre-2018/hfyt-kcbx,Enlace externo,March 19 2019,1,economía y finanzas,,,,,,,,,,,,,
567,Peticiones por asunto Diciembre Bogotá. Diciembre 2018,"Este grupo está conformado por los siguientes tipos documentales: Derecho de Petición, Solicitud y Tramite Especial; de acuerdo con el análisis realizado se clasificaron las peticiones teniendo en cuenta el tipo de requerimiento realizado por la ciudadanía.",https://www.datos.gov.co/dataset/Peticiones-por-asunto-Diciembre-Bogotá-Diciembre-2/kjzj-br3v,Enlace externo,March 19 2019,0,economía y finanzas,,,,,,,,,,,,,
568,PQRS por tipología y canal ingreso Bogotá diciembre 2018,"Los canales oficiales, dispuestos para la radicación de PQRS, establecidos en la resolución SDH000046 del 23 de diciembre de 2015 “ Por la cual se reglamenta el trámite interno de las peticiones, quejas, reclamos y sugerencias PQRS en la Secretaría Distrital de Hacienda”",https://www.datos.gov.co/dataset/PQRS-por-tipología-y-canal-ingreso-Bogotá-diciembr/9zxu-ik25,Enlace externo,March 19 2019,1,economía y finanzas,,,,,,,,,,,,,
569,Solicitudes acceso información Bogotá diciembre 2018,"Es derecho fundamental de toda persona, que le permite solicitar y recibir información pública (estructura organizacional, servicios, procedimientos y funcionamiento) en posesión o bajo control de los sujetos obligados (Entidades públicas, organismos estatales, personas naturales y jurídicas que presten o desempeñen función pública, partidos o movimientos políticos, grupos significativos de ciudadanos, entidades que administren recursos de naturaleza u origen público). El acceso a la información solamente podrá ser restringido excepcionalmente, cunado se trate de información reservada.",https://www.datos.gov.co/dataset/Solicitudes-acceso-información-Bogotá-diciembre-20/b62x-d2hv,Enlace externo,March 19 2019,1,economía y finanzas,,,,,,,,,,,,,
570,Registro de los Derechos de Petición Radicados en la Secretaria de Hacienda Distrital. Bogotá noviembre 2018.,"La información es generada del aplicativo CORDIS, por la opción de plantillas, seleccionado el periodo a consultar; la información en generada en un archivo plano este es filtrado a Excel, con la información requerida por la normatividad para su publicación.",https://www.datos.gov.co/dataset/Registro-de-los-Derechos-de-Petición-Radicados-en-/4k6i-ticm,Enlace externo,March 19 2019,0,economía y finanzas,,,,,,,,,,,,,
571,Contratos legalizados Bogotá diciembre 2018.,"Aquí puede consultar, sin dificultad todos los procesos de contratación de bienes, obras y servicios que hace la Administración Distrital tienen su normatividad, así como convocatorias y manejo presupuestal, para que estos sean transparentes.",https://www.datos.gov.co/dataset/Contratos-legalizados-Bogotá-diciembre-2018-/ghh8-93hv,Enlace externo,March 19 2019,2,economía y finanzas,,,,,,,,,,,,,
572,Registro de los Derechos de Petición Radicados en la Secretaria de Hacienda Distrital. Bogotá noviembre 2018.,"La información es generada del aplicativo CORDIS, por la opción de plantillas, seleccionado el periodo a consultar; la información en generada en un archivo plano este es filtrado a Excel, con la información requerida por la normatividad para su publicación.",https://www.datos.gov.co/dataset/Registro-de-los-Derechos-de-Petición-Radicados-en-/4k6i-ticm,Enlace externo,March 19 2019,0,economía y finanzas,,,,,,,,,,,,,
573,Informes ejecución Bogotá diciembre 2018.,"Aquí puede consultar, sin dificultad todos los procesos de contratación de bienes, obras y servicios que hace la Administración Distrital tienen su normatividad, así como convocatorias y manejo presupuestal, para que estos sean transparentes.",https://www.datos.gov.co/dataset/Informes-ejecución-Bogotá-diciembre-2018-/p6ss-z4q6,Enlace externo,March 19 2019,0,economía y finanzas,,,,,,,,,,,,,
574,Activos de información - 2018,"Archivo en formato CSV, con la matriz de activos de información con fecha de corte a Diciembre de 2018, con la siguiente descripción:",https://www.datos.gov.co/dataset/Activos-de-información-2018/5eyd-gjk4,Enlace externo,March 19 2019,1,activos de información,,,,,,,,,,,,,
575,Registro público de derechos de petición Bogotá diciembre 2018,Contiene el registro de los derechos de petición radicados en la Secretaria de Hacienda Distrital en un periodo determinado.,https://www.datos.gov.co/dataset/Registro-público-de-derechos-de-petición-Bogotá-di/ugfb-yy89,Enlace externo,March 19 2019,0,economía y finanzas,,,,,,,,,,,,,
